plant_tiny_spruce_tree_green	Tiny Spruce Tree Green	12	9	40	68
plant_spruce_tree_green_teal	Spruce Tree Green Teal	12	9	51	87
plant_bubble_pine_tree_green	Bubble Pine Tree Green	12	9	51	91
plant_pico_pine_tree_teal	Pico Pine Tree Teal	12	9	40	54
plant_small_pine_tree_green	Small Pine Tree Green	12	9	51	85
plant_triangle_spruce_tree_yellow	Triangle Spruce Tree Yellow	12	9	45	76
plant_slim_spruce_tree_cold	Slim Spruce Tree Cold	12	9	48	92
plant_thick_spruce_tree_green_teal	Thick Spruce Tree Green Teal	12	9	64	104
plant_shaade_leafy	Leafy Plant	8	6	44	44
plant_shaade_bush	Round Plant	8	6	44	44
plant_shaade_sapling	Sapling Plant	8	6	44	44
plant_flower_blue_glow	Blue Glow Flower	12	7	48	48
plant_box_bush_green	Boxy Bush Green	8	6	70	42
plant_box_bush_teal	Boxy Bush Teal	8	6	64	42
plant_round_bush_yellowish	Round Bush Yellowish	8	6	48	42
plant_low_bush_green	Low Bush Green	8	6	84	36
plant_crop_radish	Radish Crop Stages	8	3	32	32
plant_crop_potato	Potato Crop Stages	8	3	32	32
plant_crop_strawberry	Strawberry Crop Stages	8	3	32	32
plant_crop_tree	Tree Crop Stages	8	3	32	32
plant_sprout_tall_box_tree	Sprout Lands Tall Box Tree	8	7	40	70
plant_sprout_round_box_tree	Sprout Lands Round Box Tree	8	7	66	66
plant_sprout_flower_box_tree	Sprout Lands Flower Box Tree	8	7	66	66
plant_sprout_cube_berry_bush	Sprout Lands Cube Berry Bush	8	5	66	34
plant_sprout_cube_plain_bush	Sprout Lands Cube Bush	8	5	66	34
plant_sprout_blue_box_flower	Sprout Lands Blue Box Flower	8	5	34	34
plant_sprout_pink_box_flower	Sprout Lands Pink Box Flower	8	5	34	34
plant_sprout_sunflower	Sprout Lands Sunflower	8	5	40	68
plant_sprout_wheat_growth	Sprout Lands Wheat Growth	4	3	34	34
plant_sprout_radish_growth	Sprout Lands Radish Growth	5	3	34	34
